geoid,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,NA
29165,0,1,1,1,2,3,3,3,3,5,5,5,8,10,11,11,11,15,17,18,18,18,19,19,21,22,22,24,25,26,26,27,28,28,30,32,32,38,39,40,42,44,50,51,52,55,55,55,58,59,60,60,60,63,65,66,70,72,73,76,81,84,87,89,89,90,90,91,91,93,96,98,101,103,107,107,111,114,114,116,124,126,129,132,133,139,143,144,145,147,152,153,154,155,157,159,159
29167,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,5,5,5,5,5,5,7,8,8,8,8,8,9,9,9,10,11,11,12,12,12,13,15,15,16,16,16,16,16,16,17,18,18,19,19,21,21,23,23,26,28,31,31,31,31,31,32,34,36,41,41,43,45,45,49,49,49
29169,2,2,2,2,2,2,2,2,3,3,3,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,11,11,12,12,13,14,15,15,16,16,16,17,17,18,19,19,20,20,22,23,25,25,27,27,28,28,30,31,31,32,32,33,33,34,34,34,34,34,35,35,36,38,40,41,42,43,44,44,46,47,50,51,51,51,53,53,53,53
29171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
29173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
29175,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9,10,10,10,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,13,13,13
29177,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,7,7,7,7,8,8,9,9,10,11,12,15,16,16,16,16,16,16,16,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,20,20,20,20,22,22,22,24,25,27,28,28,29,29,29,29,29
29179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,5,5,5,5,5,5,5,5,7,8,11,12,13,14,16,16,17,18,18,20,20,20,20,20,20,20,20,20,20,20
29181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,5,6,9,11,12,13,13,16,19,19,21,21,22,23,23,23,23,23,25,26,27,27,29,29,29
29195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,6,7,8,8,8,8,8,11,13,13,13,15,17,17,18,18,19,19,19,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,24,25,25,27,27,27,27,29,33,38,38,40,40,42,43,44,44
29197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29201,0,0,0,0,2,2,2,2,2,2,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,8,9,9,10,10,12,12,14,16,17,17,19,20,21,23,25,26,27,28,31,31,31,32,32,33,34,35,41,44,44,44,46,47,47,47,47,47,51,55,56,60,65,68,69,73,77,79,82,89,92,95,96,101,103,108,116,118,122,125,125,125,127,127
29203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
29205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
29183,1,2,3,7,7,9,9,11,12,14,15,18,19,20,21,24,31,33,35,35,37,43,44,45,46,48,51,54,59,61,63,66,67,72,74,76,78,79,80,82,84,87,89,91,97,100,103,106,111,113,116,116,117,119,120,121,124,127,131,132,134,137,142,145,146,148,153,154,156,158,160,160,165,169,176,182,187,192,196,198,202,204,205,213,216,218,227,232,240,249,256,263,275,285,297,300,300
29185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6
29187,0,1,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,5,5,5,6,7,7,7,7,7,9,11,11,13,15,17,17,18,20,20,21,24,27,31,31,33,33,34,36,36,37,39,40,41,42,43,44,45,45,46,47,48,50,52,55,57,64,66,66,68,73,78,82,84,84,85,89,92,108,117,133,143,156,164,174,183,185,185,197,204,210,223,234,247,259,270,281,296,304,306,306
